26,30,55,60,81,11,37,48,76,87,2,19,49,69,77
10,25,44,61,70,14,23,56,79,80,4,28,47,59,82
6,16,40,63,71,17,36,52,74,83,25,38,57,64,88
1,20,43,62,86,18,39,45,67,72,8,29,54,78,89
24,41,53,75,84,7,27,31,58,85,9,12,33,42,66
3,13,32,50,65,5,21,34,68,73,15,22,46,51,90
19,23,51,71,84,5,26,34,56,76,15,31,44,66,89
4,15,23,48,62,7,18,26,54,64,9,21,47,59,71
1,21,50,70,80,10,24,59,73,85,12,32,65,74,89
7,11,29,75,93,8,18,38,84,95,9,19,49,88,96
55,67,74,82,91,62,70,75,84,96,64,73,80,87,99
15,49,61,75,88,24,55,64,77,91,35,58,69,79,99
2,13,39,58,69,3,16,48,59,70,7,27,50,67,78
